market,q,coverage,failure_class,searches,deads,thin_n,max_sim,nearest_title
GB,indian restaurrant,plausible,BASELINE_still_40pct_dead,1,0,True,0.138515738116129,Facial Treatment
GB,sark diving,stocked,F5_ranking,1,1,True,0.165774365159823,Escape Room Experience
GB,skyiving,stocked,F5_ranking,1,1,True,0.165961211599148,Guided City Tour
GB,crrossfit,plausible,BASELINE_still_40pct_dead,1,0,True,0.168379584284613,Go-Karting Session
GB,deep tissue masssage,stocked,F5_ranking,1,1,True,0.169391274452209,Full Body Massage Package
GB,skydiiving,stocked,F5_ranking,1,1,True,0.177463045507114,Guided City Tour
DE,thai masage,stocked,BASELINE_still_40pct_dead,1,0,True,0.192025838124374,Stadtführung
DE,hare färben,stocked,BASELINE_still_40pct_dead,1,0,True,0.1938356854328,Maniküre & Pediküre
GB,shaark diving,stocked,F5_ranking,1,1,True,0.194997775404254,Escape Room Experience
GB,deep tissue mssage,stocked,F5_ranking,1,1,True,0.19985423982144,Facial Treatment
FR,massge duo,stocked,BASELINE_still_40pct_dead,1,0,True,0.213474423031759,Menu 3 Plats pour Deux
GB,deep tissue aassage,stocked,F5_ranking,1,1,True,0.223041556919746,Facial Treatment
ES,crrossfit,plausible,F2_language,1,1,True,0.238254319902115,Sesión de Karting
ES,masaje tailanddes,stocked,BASELINE_still_40pct_dead,1,0,True,0.240387994224429,Tour Guiado
GB,skyddiving,stocked,F5_ranking,1,1,True,0.245585233499382,Facial Treatment
FR,crossfit,plausible,F3_geographic,59,27,False,0.246733970064127,Session Karting
DE,italiener,plausible,BASELINE_still_40pct_dead,53,18,False,0.247126045241082,Stadtführung
FR,massag duo,stocked,BASELINE_still_40pct_dead,1,0,True,0.251926466707852,Menu 3 Plats pour Deux
GB,pilates,plausible,BASELINE_still_40pct_dead,72,27,False,0.251929521790714,Three-Course Meal for Two
DE,crrossfit,plausible,F2_language,1,1,True,0.253716408320394,Maniküre & Pediküre
FR,massaage thai,stocked,BASELINE_still_40pct_dead,1,0,True,0.253955567632926,Visite Guidée
DE,crossfit,plausible,F5_ranking,62,28,False,0.254326383496944,Maniküre & Pediküre
ES,masaje tailandees,stocked,F5_ranking,1,1,True,0.256507457854149,Cena con Maridaje
PL,gokarty,stocked,BASELINE_still_40pct_dead,29,10,False,0.261386378920891,Tor Kartingowy
FR,pizza deal,plausible,F2_language,6,6,True,0.267262184673233,Menu 3 Plats pour Deux
FR,mssage thai,stocked,F5_ranking,1,1,True,0.268018449682313,Visite Guidée
