market,q,coverage,failure_class,searches,deads,thin_n,max_sim,nearest_title
ES,aaroceria,absent,F1_silent_substitution,1,0,True,0.298538328088346,Experiencia Escape Room
ES,arrocerea,absent,F4_supply_void,1,1,True,0.342391059774265,Cena con Maridaje
ES,arroceria,plausible,BASELINE_still_40pct_dead,54,23,False,0.38284197380977,Cena con Maridaje
ES,arroceriia,absent,F1_silent_substitution,1,1,True,0.308709919452667,Sesión de Masaje y Spa
ES,arrocerria,absent,F1_silent_substitution,1,0,True,0.380707593132886,Cena con Maridaje
ES,arroeria,absent,F1_silent_substitution,1,1,True,0.347310896585958,Cena con Maridaje
GB,bacck massage,stocked,BASELINE_still_40pct_dead,1,0,True,0.601324212314339,Full Body Massage Package
GB,back  massage,stocked,F5_ranking,1,1,True,0.562241738577489,Full Body Massage Package
GB,back masoage,absent,F1_silent_substitution,1,0,True,0.238267556532175,Manicure & Pedicure Package
DE,back massage,stocked,F2_language,2,2,True,0.548005022406007,Wohlfühl-Massage
ES,back massage,stocked,F2_language,13,9,False,0.519699262353795,Tratamiento de Bienestar
FR,back massage,stocked,F2_language,7,7,True,0.566431332508709,Forfait Massage Bien-être
GB,back massage,stocked,BASELINE_still_40pct_dead,78,27,False,0.562241738577489,Full Body Massage Package
GB,backk massage,stocked,BASELINE_still_40pct_dead,1,0,True,0.581869686730524,Full Body Massage Package
GB,baek massage,stocked,BASELINE_still_40pct_dead,1,0,True,0.652651665088843,Full Body Massage Package
GB,bick massage,stocked,BASELINE_still_40pct_dead,1,0,True,0.570459995893241,Full Body Massage Package
GB,boeling,absent,F1_silent_substitution,1,0,True,0.254568218095816,Three-Course Meal for Two
ES,bolera,absent,F1_silent_substitution,48,21,False,0.232911243016218,Cena con Maridaje
DE,boling,absent,F1_silent_substitution,1,0,True,0.265565062833768,Degustationsmenü
DE,boowling,absent,F1_silent_substitution,1,0,True,0.217805143333133,Kartbahn Rennen
DE,bowing,absent,F1_silent_substitution,1,0,True,0.224834650754954,Maniküre & Pediküre
GB,bowing,absent,F1_silent_substitution,1,0,True,0.168368523065975,Go-Karting Session
DE,bowlig,absent,F1_silent_substitution,1,1,True,0.33300755429088,3-Gänge-Menü für Zwei
GB,bowlig,absent,F4_supply_void,1,1,True,0.295503656984266,Three-Course Meal for Two
DE,bowliing,absent,F1_silent_substitution,1,0,True,0.24352227992978,3-Gänge-Menü für Zwei
FR,bowliing,absent,F1_silent_substitution,1,0,True,0.226823814903981,Menu Dégustation
DE,bowling,absent,F1_silent_substitution,57,21,False,0.182172937678661,Dinner mit Weinbegleitung
ES,bowling,absent,F1_silent_substitution,5,4,True,0.171202030514223,Sesión de Karting
FR,bowling,absent,F1_silent_substitution,57,28,False,0.169803587899668,Expérience Escape Game
GB,bowling,absent,F1_silent_substitution,73,31,False,0.188529383452525,Three-Course Meal for Two
PL,bowling,absent,F4_supply_void,2,2,True,0.185640236750798,Kolacja z Winem
DE,bowlinng,absent,F1_silent_substitution,2,0,True,0.272325336933153,3-Gänge-Menü für Zwei
DE,bowlng,absent,F4_supply_void,2,2,True,0.235948469201937,Dinner mit Weinbegleitung
FR,bowlng,absent,F1_silent_substitution,1,0,True,0.209621093015895,Expérience Escape Game
DE,bowlong,absent,F1_silent_substitution,1,1,True,0.229661737761085,3-Gänge-Menü für Zwei
FR,bowlong,absent,F1_silent_substitution,1,0,True,0.272722954096713,Visite Guidée
GB,bowuing,absent,F1_silent_substitution,1,0,True,0.222780766024965,Go-Karting Session
ES,branch,absent,F1_silent_substitution,1,0,True,0.205177143930707,Sesión de Karting
DE,brnch,absent,F1_silent_substitution,2,0,True,0.229926860571662,Degustationsmenü
FR,brnch,absent,F1_silent_substitution,1,1,True,0.298202561689392,Session Karting
GB,brnch,absent,F1_silent_substitution,1,0,True,0.282384704509678,Go-Karting Session
PL,brnch,absent,F1_silent_substitution,1,0,True,0.263087352610356,Tor Kartingowy
DE,brrunch,absent,F1_silent_substitution,1,0,True,0.208806041839444,Degustationsmenü
FR,brrunch,absent,F4_supply_void,2,2,True,0.295392930507668,Session Karting
GB,brunah,absent,F1_silent_substitution,1,0,True,0.206139987890126,Go-Karting Session
DE,brunch,plausible,F3_geographic,59,31,False,0.473978622805627,3-Gänge-Menü für Zwei
ES,brunch,plausible,F3_geographic,64,32,False,0.436150254106292,Menú Degustación
FR,brunch,plausible,BASELINE_still_40pct_dead,57,21,False,0.410756711418597,Menu 3 Plats pour Deux
GB,brunch,plausible,BASELINE_still_40pct_dead,76,31,False,0.402761971785991,Three-Course Meal for Two
PL,brunch,plausible,F3_geographic,35,20,False,0.488528259853177,Menu 3-Daniowe dla Dwojga
FR,bruneh,absent,F1_silent_substitution,1,1,True,0.29651633477237,Visite Guidée
FR,brunh,absent,F1_silent_substitution,1,0,True,0.31128556266853,Session Karting
ES,brunih,absent,F1_silent_substitution,1,1,True,0.332102954387703,Cena con Maridaje
DE,bruoch,absent,F1_silent_substitution,1,0,True,0.250541381521839,Degustationsmenü
GB,bruuch,absent,F1_silent_substitution,1,0,True,0.25035882733729,Go-Karting Session
ES,bruunch,absent,F1_silent_substitution,1,0,True,0.325316098068635,Sesión de Karting
ES,bunch,absent,F1_silent_substitution,1,1,True,0.340769769090974,Clases Ilimitadas
FR,bunch,absent,F1_silent_substitution,1,0,True,0.252706229041567,Cours Illimités
FR,buraer,absent,F1_silent_substitution,1,0,True,0.328343205942198,Expérience Escape Game
FR,bureer,absent,F1_silent_substitution,1,0,True,0.32282155094319,Visite Guidée
DE,burgeer,absent,F1_silent_substitution,1,0,True,0.304164400698384,Stadtführung
FR,burgeer,absent,F1_silent_substitution,1,1,True,0.306032264668304,Visite Guidée
DE,burger,plausible,BASELINE_still_40pct_dead,53,15,False,0.397334695259536,3-Gänge-Menü für Zwei
FR,burger,plausible,F3_geographic,39,19,False,0.343675917970114,Menu 3 Plats pour Deux
PL,burger,plausible,BASELINE_still_40pct_dead,25,11,False,0.355635943651364,Menu 3-Daniowe dla Dwojga
DE,burgr,absent,F4_supply_void,1,1,True,0.220595747232439,Escape Room Erlebnis
FR,burrger,absent,F1_silent_substitution,1,0,True,0.27548711244268,Session Karting
DE,buurger,absent,F4_supply_void,3,2,True,0.288088070636302,3-Gänge-Menü für Zwei
PL,buurger,absent,F1_silent_substitution,1,0,True,0.34257435963889,Tor Kartingowy
ES,caossfit,absent,F1_silent_substitution,1,1,True,0.328946623363535,Sesión de Karting
FR,ciffeur,absent,F4_supply_void,1,1,True,0.352352743481862,Menu Dégustation
GB,city toour,absent,F1_silent_substitution,1,0,True,0.368189793008113,Guided City Tour
GB,city tor,absent,F1_silent_substitution,2,0,True,0.317928634102812,Guided City Tour
DE,city tour,stocked,F2_language,4,2,True,0.653041406559665,Stadtführung
ES,city tour,stocked,F2_language,5,4,True,0.704640486068962,Tour Guiado
FR,city tour,stocked,F2_language,4,3,True,0.499584510513906,Visite Guidée
GB,city tour,stocked,BASELINE_still_40pct_dead,72,31,False,0.600026726714881,Guided City Tour
