low,false_confident,false_abstain,fc_searches,fa_searches,n_absent,n_stocked
0.0,1.0,0.0,1.0,0.0,437,314
0.005,1.0,0.0,1.0,0.0,437,314
0.01,1.0,0.0,1.0,0.0,437,314
0.015,1.0,0.0,1.0,0.0,437,314
0.02,1.0,0.0,1.0,0.0,437,314
0.025,1.0,0.0,1.0,0.0,437,314
0.03,1.0,0.0,1.0,0.0,437,314
0.035,1.0,0.0,1.0,0.0,437,314
0.04,1.0,0.0,1.0,0.0,437,314
0.045,1.0,0.0,1.0,0.0,437,314
0.05,1.0,0.0,1.0,0.0,437,314
0.055,1.0,0.0,1.0,0.0,437,314
0.06,1.0,0.0,1.0,0.0,437,314
0.065,0.9954233409610984,0.0,0.9993366500829187,0.0,437,314
0.07,0.9954233409610984,0.0,0.9993366500829187,0.0,437,314
0.075,0.9954233409610984,0.0,0.9993366500829187,0.0,437,314
0.08,0.9931350114416476,0.0,0.9990049751243781,0.0,437,314
0.085,0.9908466819221968,0.0,0.9986733001658374,0.0,437,314
0.09,0.9839816933638444,0.0,0.9718076285240465,0.0,437,314
0.095,0.9816933638443935,0.0,0.9714759535655058,0.0,437,314
0.1,0.9816933638443935,0.0,0.9714759535655058,0.0,437,314
0.105,0.9794050343249427,0.0,0.9711442786069652,0.0,437,314
0.11,0.9748283752860412,0.0,0.9701492537313433,0.0,437,314
0.115,0.9725400457665904,0.0,0.945273631840796,0.0,437,314
0.12,0.9702517162471396,0.0,0.9449419568822554,0.0,437,314
0.125,0.9702517162471396,0.0,0.9449419568822554,0.0,437,314
0.13,0.965675057208238,0.0,0.9230514096185738,0.0,437,314
0.135,0.965675057208238,0.0,0.9230514096185738,0.0,437,314
0.14,0.9610983981693364,0.0031847133757961785,0.9223880597014925,0.00016716817118020728,437,314
0.145,0.9565217391304348,0.0031847133757961785,0.8981757877280265,0.00016716817118020728,437,314
0.15,0.9519450800915332,0.0031847133757961785,0.8975124378109453,0.00016716817118020728,437,314
0.155,0.9427917620137299,0.0031847133757961785,0.8961857379767828,0.00016716817118020728,437,314
0.16,0.9405034324942791,0.0031847133757961785,0.8958540630182421,0.00016716817118020728,437,314
0.165,0.931350114416476,0.0031847133757961785,0.8932006633499171,0.00016716817118020728,437,314
0.17,0.919908466819222,0.01592356687898089,0.8729684908789387,0.0008358408559010365,437,314
0.175,0.9084668192219679,0.01592356687898089,0.869983416252073,0.0008358408559010365,437,314
0.18,0.9016018306636155,0.01910828025477707,0.8192371475953566,0.0010030090270812437,437,314
0.185,0.88558352402746,0.01910828025477707,0.7980099502487562,0.0010030090270812437,437,314
0.19,0.8810068649885584,0.01910828025477707,0.7731343283582089,0.0010030090270812437,437,314
0.195,0.8810068649885584,0.028662420382165606,0.7731343283582089,0.0015045135406218655,437,314
0.2,0.8810068649885584,0.03184713375796178,0.7731343283582089,0.001671681711802073,437,314
0.205,0.8718535469107551,0.03184713375796178,0.7711442786069652,0.001671681711802073,437,314
0.21,0.8581235697940504,0.03184713375796178,0.7565505804311774,0.001671681711802073,437,314
0.215,0.8489702517162472,0.03503184713375796,0.7548922056384743,0.0018388498829822802,437,314
0.22,0.8398169336384439,0.03503184713375796,0.723714759535655,0.0018388498829822802,437,314
0.225,0.8306636155606407,0.03821656050955414,0.7223880597014926,0.0020060180541624875,437,314
0.23,0.8123569794050344,0.03821656050955414,0.6315091210613598,0.0020060180541624875,437,314
0.235,0.7917620137299771,0.03821656050955414,0.5585406301824213,0.0020060180541624875,437,314
