market,city,q,concept,inventory_location,searches,deads,zeros,buys
FR,Paris,saut en parachute,adrenaline,nowhere,51,51,51,0
ES,Madrid,paracaidismo,adrenaline,nowhere,50,50,50,0
GB,London,supercar track day,adrenaline,nowhere,49,49,49,0
ES,Madrid,rafting,adrenaline,nowhere,46,46,46,0
GB,London,helicopter tour,adrenaline,nowhere,46,46,46,0
GB,London,hot air balloon ride,adrenaline,nowhere,43,43,43,0
FR,Paris,tour en helicoptere,adrenaline,nowhere,43,43,43,0
DE,Berlin,fallschirmspringen,adrenaline,nowhere,37,37,37,0
GB,London,skydiving,adrenaline,nowhere,36,36,36,0
GB,London,shark diving,adrenaline,nowhere,36,36,36,0
FR,Paris,vol en montgolfiere,adrenaline,nowhere,35,35,35,0
FR,Paris,rafting,adrenaline,nowhere,34,34,34,0
ES,Madrid,paseo en globo,adrenaline,nowhere,31,31,31,0
DE,Berlin,wildwasser rafting,adrenaline,nowhere,31,31,31,0
ES,Madrid,vuelo en helicoptero,adrenaline,nowhere,30,30,30,0
DE,Berlin,hubschrauber rundflug,adrenaline,nowhere,28,28,28,0
DE,Berlin,heißluftballon fahrt,adrenaline,nowhere,27,27,27,0
GB,London,eyelash extensions,lashes,nowhere,53,27,11,8
PL,Warszawa,lot balonem,adrenaline,nowhere,27,27,27,0
PL,Warszawa,skoki spadochronowe,adrenaline,nowhere,27,27,27,0
PL,Warszawa,rafting,adrenaline,nowhere,25,25,25,0
GB,Birmingham,helicopter tour,adrenaline,nowhere,24,24,24,0
GB,Manchester,helicopter tour,adrenaline,nowhere,21,21,21,0
ES,Valencia,vuelo en helicoptero,adrenaline,nowhere,20,20,20,0
GB,Birmingham,skydiving,adrenaline,nowhere,20,20,20,0
GB,London,paintball,paintball,nowhere,54,20,3,6
DE,Hamburg,wildwasser rafting,adrenaline,nowhere,20,20,20,0
GB,Manchester,hot air balloon ride,adrenaline,nowhere,20,20,20,0
DE,Berlin,escape room,escaperoom,same_city,33,19,8,3
GB,Birmingham,hot air balloon ride,adrenaline,nowhere,19,19,19,0
ES,Madrid,sushi,sushi,nowhere,44,19,9,3
GB,London,thai massage,massage,same_city,44,19,10,3
ES,Valencia,rafting,adrenaline,nowhere,18,18,18,0
ES,Barcelona,rafting,adrenaline,nowhere,18,18,18,0
GB,London,hair colour,hair,same_city,40,18,6,2
GB,Manchester,skydiving,adrenaline,nowhere,18,18,18,0
GB,Manchester,shark diving,adrenaline,nowhere,17,17,17,0
DE,München,hubschrauber rundflug,adrenaline,nowhere,17,17,17,0
GB,Glasgow,skydiving,adrenaline,nowhere,17,17,17,0
GB,Birmingham,shark diving,adrenaline,nowhere,17,17,17,0
PL,Kraków,lot balonem,adrenaline,nowhere,17,17,17,0
ES,Madrid,masaje tailandes,massage,same_city,38,17,5,4
FR,Lyon,rafting,adrenaline,nowhere,17,17,17,0
GB,London,pizza deal,dining_specific,cant_tell,42,17,6,3
ES,Valencia,paseo en globo,adrenaline,nowhere,17,17,17,0
GB,London,sushi,sushi,nowhere,41,17,8,5
ES,Madrid,pilates,pilates,cant_tell,37,17,5,5
FR,Lyon,tour en helicoptere,adrenaline,nowhere,16,16,16,0
ES,Madrid,brunch,dining_specific,cant_tell,36,16,7,4
GB,London,escape room,escaperoom,same_city,46,16,5,4
GB,London,yoga class,yoga,cant_tell,38,16,6,3
ES,Madrid,masaje en pareja,massage,same_city,30,16,6,5
GB,Manchester,supercar track day,adrenaline,nowhere,16,16,16,0
GB,London,facial,facial,same_city,37,16,5,5
ES,Sevilla,paracaidismo,adrenaline,nowhere,16,16,16,0
GB,London,city tour,citytour,same_city,35,16,4,4
GB,London,indian restaurant,dining_specific,cant_tell,38,15,5,5
DE,Berlin,brunch,dining_specific,cant_tell,33,15,3,5
FR,Paris,bowling,bowling,nowhere,36,15,5,1
GB,London,bowling,bowling,nowhere,37,15,4,7
FR,Paris,massage dos,massage,same_city,25,15,4,2
GB,London,personal trainer,personaltrain,same_city,36,15,5,5
ES,Madrid,manicura,nails,same_city,26,15,5,5
GB,London,go karting,karting,same_city,44,15,7,3
DE,Hamburg,heißluftballon fahrt,adrenaline,nowhere,14,14,14,0
DE,Hamburg,hubschrauber rundflug,adrenaline,nowhere,14,14,14,0
DE,Berlin,thai massage,massage,same_city,28,14,4,3
ES,Barcelona,paseo en globo,adrenaline,nowhere,14,14,14,0
ES,Madrid,crossfit,crossfit,cant_tell,32,14,6,4
ES,Madrid,bolera,bowling,nowhere,30,14,5,1
GB,London,steak dinner,dining_specific,cant_tell,38,14,5,3
ES,Barcelona,vuelo en helicoptero,adrenaline,nowhere,14,14,14,0
DE,Berlin,gesichtsbehandlung,facial,same_city,27,14,5,3
DE,München,fallschirmspringen,adrenaline,nowhere,14,14,14,0
DE,Berlin,bowling,bowling,nowhere,33,14,2,2
PL,Warszawa,lot helikopterem,adrenaline,nowhere,14,14,14,0
ES,Madrid,peluqueria,hair,same_city,35,14,6,2
GB,London,brunch,dining_specific,cant_tell,40,13,3,4
DE,Berlin,fitnessstudio,gym,same_city,28,13,5,3
GB,London,crossfit,crossfit,cant_tell,34,13,3,1
PL,Wrocław,rafting,adrenaline,nowhere,13,13,13,0
GB,London,back massage,massage,same_city,43,13,3,4
GB,London,manicure,nails,same_city,37,13,4,3
ES,Madrid,clase de yoga,yoga,cant_tell,35,13,3,3
FR,Paris,crossfit,crossfit,cant_tell,31,12,5,2
GB,Birmingham,supercar track day,adrenaline,nowhere,12,12,12,0
DE,Berlin,yoga kurs,yoga,cant_tell,33,12,1,6
ES,Madrid,arroceria,dining_specific,cant_tell,24,12,5,3
GB,Glasgow,hot air balloon ride,adrenaline,nowhere,12,12,12,0
DE,Köln,wildwasser rafting,adrenaline,nowhere,12,12,12,0
DE,München,wildwasser rafting,adrenaline,nowhere,12,12,12,0
FR,Marseille,vol en montgolfiere,adrenaline,nowhere,12,12,12,0
PL,Wrocław,lot helikopterem,adrenaline,nowhere,12,12,12,0
FR,Paris,coloration,hair,same_city,25,12,4,3
GB,London,couples massage,massage,same_city,36,12,5,0
GB,London,pilates,pilates,cant_tell,38,12,2,3
FR,Marseille,rafting,adrenaline,nowhere,12,12,12,0
DE,Berlin,pilates,pilates,cant_tell,25,12,2,4
ES,Madrid,gimnasio,gym,another_city,30,12,4,4
ES,Valencia,paracaidismo,adrenaline,nowhere,12,12,12,0
PL,Kraków,lot helikopterem,adrenaline,nowhere,12,12,12,0
DE,Berlin,haare färben,hair,same_city,29,12,4,1
FR,Paris,massage sportif,massage,same_city,40,12,7,3
GB,London,deep tissue massage,massage,same_city,36,12,8,3
GB,Manchester,back massage,massage,same_city,22,11,4,3
FR,Paris,soin visage,facial,same_city,31,11,4,2
GB,London,gym,gym,same_city,34,11,3,2
FR,Toulouse,saut en parachute,adrenaline,nowhere,11,11,11,0
FR,Paris,karting,karting,same_city,29,11,6,4
FR,Paris,escape game,escaperoom,same_city,20,11,6,1
FR,Toulouse,tour en helicoptere,adrenaline,nowhere,11,11,11,0
GB,Manchester,pizza deal,dining_specific,cant_tell,23,11,7,5
FR,Paris,extension de cils,lashes,nowhere,32,11,5,0
GB,London,sports massage,massage,same_city,32,11,4,7
DE,München,heißluftballon fahrt,adrenaline,nowhere,11,11,11,0
DE,Berlin,sportmassage,massage,same_city,24,11,3,3
ES,Madrid,masaje espalda,massage,same_city,33,11,6,4
ES,Madrid,escape room,escaperoom,same_city,33,11,3,5
FR,Lyon,vol en montgolfiere,adrenaline,nowhere,11,11,11,0
DE,Berlin,crossfit,crossfit,cant_tell,30,11,2,1
ES,Madrid,extensiones pestañas,lashes,nowhere,26,11,2,4
FR,Lyon,saut en parachute,adrenaline,nowhere,10,10,10,0
DE,Berlin,kart fahren,karting,same_city,35,10,2,4
GB,Manchester,city tour,citytour,same_city,20,10,1,0
DE,München,crossfit,crossfit,cant_tell,18,10,7,1
GB,Manchester,indian restaurant,dining_specific,cant_tell,26,10,3,1
FR,Paris,visite guidee,citytour,same_city,24,10,4,2
ES,Madrid,limpieza facial,facial,same_city,31,10,3,6
FR,Paris,massage duo,massage,same_city,26,10,4,4
PL,Warszawa,masaż sportowy,massage,same_city,16,10,5,0
ES,Madrid,paintball,paintball,nowhere,30,10,3,4
FR,Paris,salle de sport,gym,same_city,29,10,4,1
ES,Madrid,hamburguesa,dining_specific,cant_tell,31,10,3,5
PL,Warszawa,zwiedzanie miasta,citytour,same_city,16,10,1,0
GB,London,haircut,hair,same_city,36,10,4,7
FR,Paris,coach sportif,personaltrain,same_city,20,10,2,3
FR,Toulouse,rafting,adrenaline,nowhere,10,10,10,0
ES,Madrid,tinte pelo,hair,same_city,31,10,5,7
FR,Paris,brunch,dining_specific,cant_tell,27,10,3,1
ES,Sevilla,paseo en globo,adrenaline,nowhere,10,10,10,0
FR,Marseille,saut en parachute,adrenaline,nowhere,9,9,9,0
DE,Berlin,sushi,sushi,nowhere,18,9,5,1
DE,Berlin,personal trainer,personaltrain,same_city,25,9,3,1
FR,Paris,burger,dining_specific,cant_tell,24,9,3,3
DE,Berlin,paarmassage,massage,same_city,22,9,0,3
DE,Berlin,nackenmassage,massage,same_city,30,9,5,4
ES,Madrid,masaje descontracturante,massage,same_city,27,9,4,2
PL,Wrocław,lot balonem,adrenaline,nowhere,9,9,9,0
GB,Glasgow,shark diving,adrenaline,nowhere,9,9,9,0
GB,Glasgow,helicopter tour,adrenaline,nowhere,9,9,9,0
GB,Birmingham,facial,facial,same_city,16,9,2,3
