market,q,searches,zeros,deads,clicks,buys,concept,zero_rate,dead_rate,city_spread,coverage,deals_stocking,is_english,failure_class,thin_n,dead_nowhere,dead_same_city,dead_another_city,dead_cant_tell
GB,helicopter tour,100,100,100,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,100,0,0,0
GB,hot air balloon ride,94,94,94,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,94,0,0,0
GB,skydiving,91,91,91,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,91,0,0,0
ES,rafting,88,88,88,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,88,0,0,0
ES,paracaidismo,86,86,86,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,86,0,0,0
GB,supercar track day,85,85,85,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,85,0,0,0
FR,saut en parachute,81,81,81,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,81,0,0,0
GB,shark diving,79,79,79,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,79,0,0,0
FR,tour en helicoptere,77,77,77,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,77,0,0,0
DE,wildwasser rafting,75,75,75,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,75,0,0,0
FR,rafting,73,73,73,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,73,0,0,0
ES,vuelo en helicoptero,72,72,72,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,72,0,0,0
ES,paseo en globo,72,72,72,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,72,0,0,0
FR,vol en montgolfiere,65,65,65,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,65,0,0,0
DE,hubschrauber rundflug,65,65,65,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,65,0,0,0
DE,fallschirmspringen,64,64,64,0,0,adrenaline,1.0,1.0,0.0,absent,0,False,F4_supply_void,False,64,0,0,0
